key,total,min,max
year2000_month01,0.0,0.0,0.0
year2000_month02,0.0,0.0,0.0
year2000_month03,0.0,0.0,0.0
year2000_month04,0.0,0.0,0.0
year2000_month05,0.0,0.0,0.0
year2000_month06,0.0,0.0,0.0
year2000_month07,0.0,0.0,0.0
year2000_month08,0.0,0.0,0.0
year2000_month09,0.0,0.0,0.0
year2000_month10,0.0,0.0,0.0
year2000_month11,0.0,0.0,0.0
year2000_month12,554.0,0.0,178.0
year2001_month01,329.0,0.0,118.0
year2001_month02,1106.0,0.0,188.0
year2001_month03,250.0,0.0,56.0
year2001_month04,319.0,0.0,96.0
year2001_month05,7.0,0.0,4.0
year2001_month06,180.0,0.0,23.0
year2001_month07,4.0,0.0,3.0
year2001_month08,21.0,0.0,8.0
year2001_month09,56.0,0.0,21.0
year2001_month10,28.0,0.0,13.0
year2001_month11,136.0,0.0,70.0
year2001_month12,61.0,0.0,39.0
year2002_month01,184.0,0.0,40.0
year2002_month02,31.0,0.0,20.0
year2002_month03,63.0,0.0,10.0
year2002_month04,210.0,0.0,41.0
year2002_month05,125.0,0.0,24.0
year2002_month06,1.0,0.0,1.0
year2002_month07,0.0,0.0,0.0
year2002_month08,0.0,0.0,0.0
year2002_month09,11.0,0.0,11.0
year2002_month10,0.0,0.0,0.0
year2002_month11,25.0,0.0,8.0
year2002_month12,197.0,0.0,123.0
year2003_month01,392.0,0.0,192.0
year2003_month02,236.0,0.0,42.0
year2003_month03,217.0,0.0,81.0
year2003_month04,261.0,0.0,109.0
year2003_month05,175.0,0.0,43.0
year2003_month06,89.0,0.0,29.0
year2003_month07,86.0,0.0,19.0
year2003_month08,35.0,0.0,13.0
year2003_month09,8.0,0.0,4.0
year2003_month10,7.0,0.0,4.0
year2003_month11,45.0,0.0,16.0
year2003_month12,284.0,0.0,53.0
year2004_month01,332.0,0.0,128.0
year2004_month02,767.0,0.0,142.0
year2004_month03,1249.0,0.0,256.0
year2004_month04,451.0,0.0,106.0
year2004_month05,70.0,0.0,25.0
year2004_month06,86.0,0.0,26.0
year2004_month07,100.0,0.0,38.0
year2004_month08,4.0,0.0,1.0
year2004_month09,33.0,0.0,16.0
year2004_month10,36.0,0.0,16.0
year2004_month11,84.0,0.0,40.0
year2004_month12,188.0,0.0,76.0
