key,total,min,max
year1999_month01,0.0,0.0,0.0
year1999_month02,0.0,0.0,0.0
year1999_month03,0.0,0.0,0.0
year1999_month04,0.0,0.0,0.0
year1999_month05,0.0,0.0,0.0
year1999_month06,37.4,0.0,15.2
year1999_month07,58.6,0.0,28.0
year1999_month08,53.200000000000024,0.0,25.6
year1999_month09,72.6,0.0,22.4
year1999_month10,35.4,0.0,17.0
year1999_month11,218.4,0.0,26.4
year1999_month12,165.9,0.0,35.7
year2000_month01,171.6,0.0,72.6
year2000_month02,1380.8,0.0,209.4
year2000_month03,660.9999999999999,0.0,277.0
year2000_month04,560.6,0.0,197.0
year2000_month05,50.4,0.0,29.4
year2000_month06,23.499999999999996,0.0,5.2
year2000_month07,9.6,0.0,8.4
year2000_month08,71.0,0.0,24.8
year2000_month09,8.3,0.0,3.7
year2000_month10,48.60000000000001,0.0,18.6
year2000_month11,235.20000000000002,0.0,44.6
year2000_month12,481.8,0.0,155.4
year2001_month01,285.20000000000005,0.0,96.2
year2001_month02,892.6,0.0,197.2
year2001_month03,194.4,0.0,41.0
year2001_month04,240.20000000000002,0.0,112.6
year2001_month05,2.2,0.0,2.2
year2001_month06,86.19999999999999,0.0,18.6
year2001_month07,4.4,0.0,2.6
year2001_month08,11.4,0.0,4.0
year2001_month09,35.0,0.0,9.6
year2001_month10,101.80000000000001,0.0,60.6
year2001_month11,115.6,0.0,63.8
year2001_month12,71.00000000000001,0.0,53.6
year2002_month01,189.4,0.0,37.8
year2002_month02,299.3999999999999,0.0,95.4
year2002_month03,75.0,0.0,25.2
year2002_month04,147.79999999999998,0.0,37.6
year2002_month05,67.99999999999999,0.0,13.2
year2002_month06,1.0,0.0,1.0
year2002_month07,4.6,0.0,2.8
year2002_month08,67.79999999999998,0.0,20.0
year2002_month09,8.200000000000001,0.0,3.2
year2002_month10,0.4,0.0,0.4
year2002_month11,16.800000000000004,0.0,6.2
year2002_month12,71.8,0.0,15.6
year2003_month01,372.79999999999995,0.0,188.2
year2003_month02,148.6,0.0,28.2
year2003_month03,214.4,0.0,73.6
year2003_month04,197.60000000000002,0.0,83.4
year2003_month05,117.39999999999999,0.0,25.2
year2003_month06,60.8,0.0,19.8
year2003_month07,35.800000000000004,0.0,10.8
year2003_month08,22.200000000000003,0.0,7.4
year2003_month09,7.4,0.0,2.4
year2003_month10,15.599999999999998,0.0,6.6
year2003_month11,31.0,0.0,6.2
year2003_month12,251.2,0.0,51.4
year2004_month01,330.8,0.0,169.6
year2004_month02,641.9999999999999,0.0,118.6
year2004_month03,979.1999999999999,0.0,172.6
year2004_month04,366.4,0.0,94.8
year2004_month05,48.8,0.0,31.2
year2004_month06,41.0,0.0,14.2
year2004_month07,36.400000000000006,0.0,18.6
year2004_month08,0.8,0.0,0.8
year2004_month09,36.4,0.0,16.2
year2004_month10,31.2,0.0,17.0
year2004_month11,77.19999999999999,0.0,33.2
year2004_month12,325.4,0.0,99.4
year2005_month01,503.79999999999995,0.0,113.8
year2005_month02,168.6,0.0,81.8
year2005_month03,525.6,0.0,286.8
year2005_month04,259.8,0.0,34.2
year2005_month05,24.599999999999998,0.0,7.8
year2005_month06,45.2,0.0,10.8
year2005_month07,76.6,0.0,18.4
year2005_month08,82.39999999999999,0.0,16.2
year2005_month09,6.4,0.0,3.2
year2005_month10,21.2,0.0,8.0
year2005_month11,28.999999999999996,0.0,12.6
year2005_month12,102.8,0.0,36.2
year2006_month01,395.2,0.0,63.6
year2006_month02,296.2,0.0,119.0
year2006_month03,715.5999999999998,0.0,173.2
year2006_month04,646.5999999999999,0.0,233.6
year2006_month05,78.6,0.0,36.8
year2006_month06,88.2,0.0,40.2
year2006_month07,81.39999999999999,0.0,20.4
year2006_month08,15.799999999999999,0.0,7.8
year2006_month09,112.59999999999998,0.0,62.6
year2006_month10,97.8,0.0,24.0
year2006_month11,20.4,0.0,8.8
year2006_month12,112.00000000000001,0.0,19.0
year2007_month01,263.0,0.0,72.2
year2007_month02,845.2,0.0,198.4
year2007_month03,335.00000000000006,0.0,127.6
year2007_month04,77.39999999999999,0.0,13.2
year2007_month05,126.39999999999999,0.0,24.8
year2007_month06,74.39999999999999,0.0,15.2
year2007_month07,20.4,0.0,9.4
year2007_month08,20.2,0.0,3.8
year2007_month09,7.6,0.0,6.6
year2007_month10,76.0,0.0,38.2
year2007_month11,75.40000000000002,0.0,16.0
year2007_month12,228.20000000000002,0.0,54.6
year2008_month01,577.5999999999999,0.0,201.2
year2008_month02,670.6,0.0,122.2
year2008_month03,976.7999999999998,0.0,264.2
year2008_month04,22.0,0.0,7.8
year2008_month05,52.800000000000004,0.0,21.2
year2008_month06,22.4,0.0,8.4
year2008_month07,77.19999999999999,0.0,30.8
year2008_month08,4.799999999999999,0.0,2.0
year2008_month09,42.0,0.0,11.8
year2008_month10,70.60000000000001,0.0,30.6
year2008_month11,123.19999999999999,0.0,69.2
year2008_month12,61.800000000000004,0.0,27.8
year2009_month01,941.2,0.0,225.4
year2009_month02,620.5999999999999,0.0,123.4
year2009_month03,169.0,0.0,73.8
year2009_month04,155.4,0.0,48.2
year2009_month05,100.39999999999999,0.0,19.8
year2009_month06,16.6,0.0,11.4
year2009_month07,7.6,0.0,2.2
year2009_month08,4.199999999999999,0.0,1.6
year2009_month09,2.8,0.0,1.2
year2009_month10,61.0,0.0,31.8
year2009_month11,294.8,0.0,120.0
year2009_month12,96.39999999999999,0.0,18.4
year2010_month01,663.6,0.0,96.4
year2010_month02,224.60000000000005,0.0,53.8
year2010_month03,464.8,0.0,122.4
year2010_month04,343.2,0.0,253.2
year2010_month05,37.99999999999999,0.0,12.6
year2010_month06,14.6,0.0,9.2
year2010_month07,38.199999999999996,0.0,10.4
year2010_month08,74.0,0.0,32.0
year2010_month09,141.0,0.0,43.6
year2010_month10,254.99999999999997,0.0,40.4
year2010_month11,267.8,0.0,57.6
year2010_month12,446.4,0.0,101.6
year2011_month01,601.3999999999999,0.0,111.0
year2011_month02,991.4000000000001,0.0,182.2
year2011_month03,520.1999999999999,0.0,145.2
year2011_month04,58.0,0.0,14.4
year2011_month05,11.6,0.0,3.4
year2011_month06,84.8,0.0,60.6
year2011_month07,13.200000000000001,0.0,7.4
year2011_month08,19.6,0.0,5.6
year2011_month09,16.6,0.0,8.6
year2011_month10,430.59999999999997,0.0,189.2
year2011_month11,115.39999999999999,0.0,36.2
year2011_month12,245.39999999999998,0.0,57.4
year2012_month01,253.20000000000007,0.0,65.4
year2012_month02,383.8,0.0,55.4
year2012_month03,1206.0,0.0,226.8
year2012_month04,131.4,0.0,43.2
year2012_month05,167.00000000000003,0.0,97.4
year2012_month06,34.2,0.0,22.8
year2012_month07,51.800000000000004,0.0,44.6
year2012_month08,14.4,0.0,8.2
year2012_month09,22.6,0.0,9.4
year2012_month10,58.800000000000004,0.0,22.2
year2012_month11,34.199999999999996,0.0,13.4
year2012_month12,37.6,0.0,9.0
year2013_month01,467.2,0.0,165.8
year2013_month02,219.2,0.0,60.0
year2013_month03,349.0,0.0,69.0
year2013_month04,102.40000000000002,0.0,38.8
year2013_month05,199.59999999999997,0.0,58.6
year2013_month06,17.0,0.0,3.6
year2013_month07,59.4,0.0,14.4
year2013_month08,6.800000000000001,0.0,3.6
year2013_month09,33.8,0.0,13.2
year2013_month10,40.6,0.0,26.8
year2013_month11,210.60000000000002,0.0,52.2
year2013_month12,90.19999999999997,0.0,21.2
year2014_month01,338.59999999999997,0.0,72.4
year2014_month02,487.8,0.0,69.0
year2014_month03,331.6000000000001,0.0,102.6
year2014_month04,373.5999999999999,0.0,145.2
year2014_month05,114.60000000000001,0.0,28.6
year2014_month06,80.6,0.0,27.8
year2014_month07,26.6,0.0,6.6
year2014_month08,32.0,0.0,13.8
year2014_month09,6.8,0.0,3.0
year2014_month10,8.0,0.0,4.8
year2014_month11,9.399999999999999,0.0,3.2
year2014_month12,85.2,0.0,66.6
year2015_month01,324.3999999999999,0.0,68.8
year2015_month02,702.4000000000001,0.0,243.2
year2015_month03,288.6,0.0,114.4
year2015_month04,79.2,0.0,28.4
year2015_month05,26.6,0.0,9.4
year2015_month06,198.20000000000002,0.0,43.6
year2015_month07,30.800000000000004,0.0,8.0
year2015_month08,10.0,0.0,7.2
year2015_month09,22.8,0.0,13.8
year2015_month10,62.0,0.0,12.4
year2015_month11,99.19999999999999,0.0,25.6
year2015_month12,383.40000000000003,0.0,83.6
year2016_month01,109.2,0.0,31.8
year2016_month02,150.4,0.0,59.8
year2016_month03,310.4,0.0,69.4
year2016_month04,147.4,0.0,35.8
year2016_month05,220.39999999999998,0.0,116.0
year2016_month06,81.6,0.0,23.0
year2016_month07,135.8,0.0,69.0
year2016_month08,38.2,0.0,7.8
year2016_month09,72.6,0.0,30.2
year2016_month10,31.0,0.0,18.2
year2016_month11,17.0,0.0,8.2
