key,total,min,max
year1954_month01,0.0,0.0,0.0
year1954_month02,0.0,0.0,0.0
year1954_month03,0.0,0.0,0.0
year1954_month04,237.2,0.0,54.1
year1954_month05,22.900000000000002,0.0,5.8
year1954_month06,39.9,0.0,11.9
year1954_month07,23.1,0.0,11.2
year1954_month08,0.0,0.0,0.0
year1954_month09,3.9,0.0,1.8
year1954_month10,61.399999999999984,0.0,18.0
year1954_month11,14.0,0.0,7.1
year1954_month12,16.8,0.0,6.1
year1955_month01,77.2,0.0,26.2
year1955_month02,366.09999999999997,0.0,60.7
year1955_month03,603.0999999999999,0.0,98.8
year1955_month04,54.8,0.0,14.5
year1955_month05,71.69999999999999,0.0,21.6
year1955_month06,76.29999999999998,0.0,17.5
year1955_month07,9.5,0.0,2.3
year1955_month08,14.6,0.0,5.8
year1955_month09,30.0,0.0,8.6
year1955_month10,41.4,0.0,22.4
year1955_month11,27.400000000000002,0.0,16.5
year1955_month12,103.80000000000001,0.0,33.5
year1956_month01,360.90000000000003,0.0,65.5
year1956_month02,453.4,0.0,102.9
year1956_month03,350.70000000000005,0.0,83.3
year1956_month04,41.2,0.0,7.4
year1956_month05,127.99999999999997,0.0,47.2
year1956_month06,41.199999999999996,0.0,27.7
year1956_month07,15.799999999999999,0.0,6.6
year1956_month08,16.1,0.0,6.6
year1956_month09,20.900000000000002,0.0,20.1
year1956_month10,23.9,0.0,18.3
year1956_month11,69.4,0.0,46.0
year1956_month12,273.0,0.0,69.3
year1957_month01,416.4,0.0,66.3
year1957_month02,216.20000000000002,0.0,73.7
year1957_month03,164.6,0.0,57.2
year1957_month04,32.3,0.0,6.4
year1957_month05,23.900000000000002,0.0,7.9
year1957_month06,76.49999999999999,0.0,11.7
year1957_month07,34.4,0.0,7.9
year1957_month08,7.9,0.0,7.9
year1957_month09,0.0,0.0,0.0
year1957_month10,15.5,0.0,15.5
year1957_month11,83.39999999999999,0.0,38.4
year1957_month12,19.900000000000002,0.0,10.7
year1958_month01,347.0,0.0,81.5
year1958_month02,407.7,0.0,100.8
year1958_month03,369.7,0.0,134.6
